"PERIOD","DATE","SAMPLE","PLOT","TRANSECT","STATUS","COUNT","DENSITY","WM_GM2","SFDM_GM2","EXCR_M2"
"Open season","11/1/19","E","BC1","D","Reserve",14,0.14,57.966184309,9.1006909365,28.5483300644
"Open season","11/1/19","E","BR1","A","Reserve",6,0.06,32.501873084,5.102794074,14.526837799
"Open season","11/1/19","E","BR1","B","Reserve",16,0.16,68.078039598,10.6882522176,32.9844313384
"Open season","11/1/19","E","BR1","C","Reserve",0,0,0,0,0
"Open season","11/1/19","E","BR1","D","Reserve",1,0.01,5.105323979,0.8015358648,2.304862457
"Open season","11/1/19","E","BR2","A","Reserve",1,0.01,5.105323979,0.8015358648,2.365327721
"Open season","11/1/19","E","BR2","B","Reserve",31,0.31,168.135956804,26.3973452177,73.367282489
"Open season","11/1/19","E","BR2","C","Reserve",9,0.09,61.277652694,9.6205914725,23.428423616
"Open season","11/1/19","E","BR2","D","Reserve",7,0.07,35.203464662,5.5269439525,16.174868259
"Open season","11/1/19","E","BR3","A","Reserve",34,0.34,164.697051876,25.8574371447,76.959734033
"Open season","11/1/19","E","BR3","B","Reserve",22,0.22,103.050853906,16.1789840635,48.681574651
"Open season","11/1/19","E","BR3","C","Reserve",9,0.09,42.03011375,6.5987278586,19.783659517
"Open season","11/1/19","E","BR3","D","Reserve",62,0.62,297.25478827,46.6690017593,137.439704682
