"PERIOD","STATUS","DATE","SAMPLE","PLOT","TRANSECT","SIDE","DIST_X","DIST_Y","HABITAT","CL_mm","WM_g","SFDM_g","EXCR_IND"
"Closed season","Reserve","9/14/19","A","BC1","D","L",12,3.75,"R",79,457.9896699,71.90437818,215.6087312
"Closed season","Reserve","9/14/19","A","BC1","D","L",14.7,3.75,"R",80,475.0883261,74.5888672,227.0227045
"Closed season","Reserve","9/14/19","A","BC1","D","L",13.4,3.75,"R",83,528.8872633,83.03530033,229.0649102
"Closed season","Reserve","9/14/19","A","BC1","D","R",2.8,1.25,"R",84,547.6703064,85.9842381,242.3935249
"Closed season","Reserve","9/14/19","A","BC1","D","L",5.3,3.75,"R",95,783.8879162,123.0704028,294.4196144
"Closed season","Reserve","9/14/19","A","BC1","D","R",5.3,1.25,"R",140,2426.488671,380.9587214,527.5656611
"Closed season","Reserve","9/25/19","B","BC1","A","R",17.2,16.25,"R",78,441.300292,69.28414584,207.4121681
"Closed season","Reserve","9/25/19","B","BC1","A","R",1,16.25,"R",120,1548.452161,243.1069893,433.809803
"Closed season","Reserve","9/25/19","B","BC1","B","L",0,13.75,"R",74,378.5407316,59.43089487,198.5162165
"Closed season","Reserve","9/25/19","B","BC1","B","R",13,11.25,"R",78,441.300292,69.28414584,210.7067414
"Closed season","Reserve","9/25/19","B","BC1","B","L",7.8,13.75,"R",80,475.0883261,74.5888672,217.902158
"Closed season","Reserve","9/25/19","B","BC1","B","R",15.5,11.25,"R",78,441.300292,69.28414584,220.8932036
"Closed season","Reserve","9/25/19","B","BC1","B","L",19.5,13.75,"R",82,510.5323979,80.15358648,223.6441115
"Closed season","Reserve","9/25/19","B","BC1","B","R",13,11.25,"R",82,510.5323979,80.15358648,231.8127084
"Closed season","Reserve","9/25/19","B","BC1","B","R",13.4,11.25,"R",88,627.1784345,98.46701422,262.1545926
"Closed season","Reserve","9/25/19","B","BC1","B","L",19.5,13.75,"R",90,669.623864,105.1309466,292.3842659
"Closed season","Reserve","9/25/19","B","BC1","B","R",20,11.25,"R",105,1049.32833,164.7445478,361.1224558
"Closed season","Reserve","9/25/19","B","BC1","B","R",12.9,11.25,"R",140,2426.488671,380.9587214,585.0018758
"Closed season","Reserve","9/25/19","B","BC1","C","R",2.7,6.25,"R",73,363.8265751,57.1207723,188.6908544
"Closed season","Reserve","9/25/19","B","BC1","C","R",8.2,6.25,"R",78,441.300292,69.28414584,223.9266668
"Closed season","Reserve","9/25/19","B","BC1","C","L",11.6,8.75,"R",82,510.5323979,80.15358648,234.0040472
"Closed season","Reserve","9/25/19","B","BC1","C","L",18.7,8.75,"R",84,547.6703064,85.9842381,239.3789913
"Closed season","Reserve","9/25/19","B","BC1","C","L",5.5,8.75,"R",92,713.9135533,112.0844279,286.8061385
"Closed season","Reserve","9/25/19","B","BC1","D","L",7,3.75,"R",82,510.5323979,80.15358648,239.0479362
"Closed season","Reserve","9/25/19","B","BC1","D","R",7.1,1.25,"R",82,510.5323979,80.15358648,244.1669357
"Closed season","Reserve","9/29/19","C","BC1","A","R",0.5,16.25,"R",70,321.9496555,50.54609591,180.7500105
"Closed season","Reserve","9/29/19","C","BC1","A","L",16.7,18.75,"R",84,547.6703064,85.9842381,236.5241882
"Closed season","Reserve","9/29/19","C","BC1","B","R",5.2,11.25,"R",70,321.9496555,50.54609591,175.14541
"Closed season","Reserve","9/29/19","C","BC1","B","L",0.5,13.75,"R",72,349.4931913,54.87043104,192.8552505
"Closed season","Reserve","9/29/19","C","BC1","B","L",11.7,13.75,"R",85,566.8862397,89.00113964,244.1592622
"Closed season","Reserve","9/29/19","C","BC1","B","R",20,11.25,"R",86,586.5397711,92.08674406,247.2340705
"Closed season","Reserve","9/29/19","C","BC1","B","R",5,11.25,"R",88,627.1784345,98.46701422,257.029724
"Closed season","Reserve","9/29/19","C","BC1","B","R",10.5,11.25,"R",90,669.623864,105.1309466,263.743085
"Closed season","Reserve","9/29/19","C","BC1","C","R",14.4,6.25,"R",70,321.9496555,50.54609591,170.5399389
"Closed season","Reserve","9/29/19","C","BC1","C","R",18.8,6.25,"R",70,321.9496555,50.54609591,179.3367027
"Closed season","Reserve","9/29/19","C","BC1","C","R",10,6.25,"R",72,349.4931913,54.87043104,188.4781955
"Closed season","Reserve","9/29/19","C","BC1","C","R",15.5,6.25,"R",72,349.4931913,54.87043104,190.5951584
"Closed season","Reserve","9/29/19","C","BC1","C","R",1,6.25,"R",73,363.8265751,57.1207723,192.8420404
"Closed season","Reserve","9/29/19","C","BC1","C","R",18.8,6.25,"R",83,528.8872633,83.03530033,222.3530231
"Closed season","Reserve","9/29/19","C","BC1","C","R",13.6,6.25,"R",85,566.8862397,89.00113964,243.8497892
"Closed season","Reserve","9/29/19","C","BC1","C","R",19.2,6.25,"R",85,566.8862397,89.00113964,244.1385555
"Closed season","Reserve","9/29/19","C","BC1","C","R",19.9,6.25,"R",86,586.5397711,92.08674406,246.0140202
"Closed season","Reserve","9/29/19","C","BC1","C","R",3.2,6.25,"R",92,713.9135533,112.0844279,269.577418
"Closed season","Reserve","9/29/19","C","BC1","D","L",12.3,3.75,"R",59,195.6310459,30.7140742,134.3621886
"Closed season","Reserve","9/29/19","C","BC1","D","L",12.3,3.75,"R",70,321.9496555,50.54609591,181.7259973
"Closed season","Reserve","9/29/19","C","BC1","D","R",13.9,1.25,"R",77,425.0154547,66.72742638,218.2909305
"Closed season","Reserve","9/29/19","C","BC1","D","L",14.7,3.75,"R",80,475.0883261,74.5888672,223.2538975
"Closed season","Reserve","9/29/19","C","BC1","D","L",12,3.75,"R",79,457.9896699,71.90437818,225.9498964
"Closed season","Reserve","9/29/19","C","BC1","D","L",13.4,3.75,"R",83,528.8872633,83.03530033,231.3182163
"Closed season","Reserve","9/29/19","C","BC1","D","L",13.5,3.75,"R",82,510.5323979,80.15358648,232.8965958
"Closed season","Reserve","9/29/19","C","BC1","D","R",5.3,1.25,"R",140,2426.488671,380.9587214,552.0467777
"Open season","Reserve","10/13/19","D","BC1","A","R",14,16.25,"R",69,308.7299461,48.47060153,179.810498
"Open season","Reserve","10/13/19","D","BC1","A","L",10.5,18.75,"R",70,321.9496555,50.54609591,181.197016
"Open season","Reserve","10/13/19","D","BC1","A","L",5.6,18.75,"R",77,425.0154547,66.72742638,208.9260582
"Open season","Reserve","10/13/19","D","BC1","A","L",18,18.75,"R",80,475.0883261,74.5888672,225.8035782
"Open season","Reserve","10/13/19","D","BC1","A","R",2.1,16.25,"R",83,528.8872633,83.03530033,245.1572652
"Open season","Reserve","10/13/19","D","BC1","A","L",2.1,18.75,"R",101,937.0416307,147.115536,333.8797778
"Open season","Reserve","10/13/19","D","BC1","A","L",4.5,18.75,"R",103,992.1418324,155.7662677,351.9558138
"Open season","Reserve","10/13/19","D","BC1","A","L",4.5,18.75,"R",122,1624.859909,255.1030057,459.9350332
"Open season","Reserve","10/13/19","D","BC1","A","R",14.5,16.25,"R",131,1999.359046,313.8993702,481.7970604
"Open season","Reserve","10/13/19","D","BC1","A","L",2.1,18.75,"R",140,2426.488671,380.9587214,533.1222014
"Open season","Reserve","10/13/19","D","BC1","B","R",6.2,11.25,"R",80,475.0883261,74.5888672,222.1055588
"Open season","Reserve","10/13/19","D","BC1","B","L",13.4,13.75,"R",78,441.300292,69.28414584,225.8270886
"Open season","Reserve","10/13/19","D","BC1","B","R",3.1,11.25,"R",84,547.6703064,85.9842381,234.2884082
"Open season","Reserve","10/13/19","D","BC1","B","R",16,11.25,"R",84,547.6703064,85.9842381,238.8180075
"Open season","Reserve","10/13/19","D","BC1","C","L",11.3,8.75,"R",70,321.9496555,50.54609591,171.6011945
"Open season","Reserve","10/13/19","D","BC1","C","L",5.6,8.75,"R",70,321.9496555,50.54609591,180.5236223
"Open season","Reserve","10/13/19","D","BC1","C","L",15,8.75,"R",79,457.9896699,71.90437818,209.7922349
"Open season","Reserve","10/13/19","D","BC1","C","L",16.4,8.75,"R",78,441.300292,69.28414584,215.4287059
"Open season","Reserve","10/13/19","D","BC1","C","R",10.4,6.25,"R",80,475.0883261,74.5888672,217.2045906
"Open season","Reserve","10/13/19","D","BC1","C","L",11.3,8.75,"R",82,510.5323979,80.15358648,231.0218938
"Open season","Reserve","10/13/19","D","BC1","C","L",11.9,8.75,"R",82,510.5323979,80.15358648,231.8568324
"Open season","Reserve","10/13/19","D","BC1","C","L",17.4,8.75,"R",84,547.6703064,85.9842381,232.5627551
"Open season","Reserve","10/13/19","D","BC1","C","L",10.4,8.75,"R",84,547.6703064,85.9842381,238.1515078
"Open season","Reserve","10/13/19","D","BC1","C","R",3.5,6.25,"R",82,510.5323979,80.15358648,245.3124188
"Open season","Reserve","10/13/19","D","BC1","C","R",11.3,6.25,"R",85,566.8862397,89.00113964,251.9613124
"Open season","Reserve","10/13/19","D","BC1","D","L",13.6,3.75,"R",59,195.6310459,30.7140742,132.2129347
"Open season","Reserve","10/13/19","D","BC1","D","L",15.4,3.75,"R",62,226.0495275,35.48977581,144.4019515
"Open season","Reserve","10/13/19","D","BC1","D","R",5.4,1.25,"R",83,528.8872633,83.03530033,230.3187778
"Open season","Reserve","10/13/19","D","BC1","D","L",10.4,3.75,"R",83,528.8872633,83.03530033,240.4205697
"Open season","Reserve","10/13/19","D","BC1","D","L",0.8,3.75,"R",83,528.8872633,83.03530033,248.1894026
"Open season","Reserve","10/13/19","D","BC1","D","R",7.2,1.25,"R",140,2426.488671,380.9587214,584.6843387
"Open season","Reserve","11/1/19","E","BC1","A",NA,NA,NA,NA,0,0,0,0
"Open season","Reserve","11/1/19","E","BC1","B","L",7.8,13.75,"R",77,425.0154547,66.72742638,204.7587207
"Open season","Reserve","11/1/19","E","BC1","B","R",13.4,11.25,"R",76,409.1304152,64.23347518,205.7316688
"Open season","Reserve","11/1/19","E","BC1","B","L",7.7,13.75,"R",80,475.0883261,74.5888672,213.7642386
"Open season","Reserve","11/1/19","E","BC1","B","R",13.4,11.25,"R",84,547.6703064,85.9842381,236.084136
"Open season","Reserve","11/1/19","E","BC1","B","R",18.2,11.25,"R",84,547.6703064,85.9842381,245.3609634
"Open season","Reserve","11/1/19","E","BC1","B","R",0.3,11.25,"R",90,669.623864,105.1309466,275.971309
"Open season","Reserve","11/1/19","E","BC1","B","L",7.8,13.75,"R",98,858.2220538,134.7408625,312.1215777
"Open season","Reserve","11/1/19","E","BC1","B","L",2.1,13.75,"R",102,964.3332592,151.4003217,331.3504519
"Open season","Reserve","11/1/19","E","BC1","C","R",10.8,6.25,"R",76,409.1304152,64.23347518,206.684316
"Open season","Reserve","11/1/19","E","BC1","C","R",10.8,6.25,"R",78,441.300292,69.28414584,212.0852995
"Open season","Reserve","11/1/19","E","BC1","C","L",5,8.75,"R",78,441.300292,69.28414584,217.8654143
"Open season","Reserve","11/1/19","E","BC1","C","R",13.5,6.25,"R",83,528.8872633,83.03530033,237.0374199
"Open season","Reserve","11/1/19","E","BC1","C","R",5.1,6.25,"R",84,547.6703064,85.9842381,240.2717728
"Open season","Reserve","11/1/19","E","BC1","C","R",11,6.25,"R",84,547.6703064,85.9842381,247.9835343
"Open season","Reserve","11/1/19","E","BC1","C","R",11.9,6.25,"R",90,669.623864,105.1309466,268.8379697
"Open season","Reserve","11/1/19","E","BC1","C","L",10,8.75,"R",92,713.9135533,112.0844279,289.4062352
"Open season","Reserve","11/1/19","E","BC1","C","L",11.2,8.75,"R",140,2426.488671,380.9587214,561.8937954
"Open season","Reserve","11/1/19","E","BC1","D","R",12.2,1.25,"R",49,113.8700122,17.87759192,93.68146864
"Open season","Reserve","11/1/19","E","BC1","D","L",15,3.75,"R",63,236.8385127,37.18364649,145.7598569
"Open season","Reserve","11/1/19","E","BC1","D","R",12.2,1.25,"R",62,226.0495275,35.48977581,153.5599679
"Open season","Reserve","11/1/19","E","BC1","D","R",11.5,1.25,"R",72,349.4931913,54.87043104,177.6891016
"Open season","Reserve","11/1/19","E","BC1","D","L",15,3.75,"R",74,378.5407316,59.43089487,189.3438003
"Open season","Reserve","11/1/19","E","BC1","D","L",15.2,3.75,"R",76,409.1304152,64.23347518,203.0975954
"Open season","Reserve","11/1/19","E","BC1","D","L",15.2,3.75,"R",78,441.300292,69.28414584,206.564107
"Open season","Reserve","11/1/19","E","BC1","D","L",8.8,3.75,"R",76,409.1304152,64.23347518,209.789516
"Open season","Reserve","11/1/19","E","BC1","D","L",13.7,3.75,"R",82,510.5323979,80.15358648,237.90998
"Open season","Reserve","11/1/19","E","BC1","D","R",1.2,1.25,"R",82,510.5323979,80.15358648,238.5751424
"Open season","Reserve","11/1/19","E","BC1","D","L",10.5,3.75,"R",83,528.8872633,83.03530033,239.4181935
"Open season","Reserve","11/1/19","E","BC1","D","R",8.2,1.25,"R",83,528.8872633,83.03530033,241.4819447
"Open season","Reserve","11/1/19","E","BC1","D","L",13.7,3.75,"R",85,566.8862397,89.00113964,248.364653
"Open season","Reserve","11/1/19","E","BC1","D","L",9,3.75,"R",86,586.5397711,92.08674406,269.5976791
"Closed season","Reserve","9/15/19","A","BR1","A","L",19,18.75,"C",62,226.0495275,35.48977581,155.4694641
"Closed season","Reserve","9/15/19","A","BR1","A","L",19,18.75,"C",70,321.9496555,50.54609591,177.9719003
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",72,349.4931913,54.87043104,181.5847491
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",73,363.8265751,57.1207723,182.7008774
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",72,349.4931913,54.87043104,183.2884333
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",70,321.9496555,50.54609591,183.6217959
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",72,349.4931913,54.87043104,183.6633304
"Closed season","Reserve","9/15/19","A","BR1","A","L",16.3,18.75,"L",72,349.4931913,54.87043104,184.527174
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",70,321.9496555,50.54609591,184.7074704
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",71,335.5358101,52.67912218,184.9552594
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",73,363.8265751,57.1207723,186.8478839
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",73,363.8265751,57.1207723,188.6066886
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",73,363.8265751,57.1207723,189.7151301
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",72,349.4931913,54.87043104,189.7365739
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",74,378.5407316,59.43089487,190.1879635
"Closed season","Reserve","9/15/19","A","BR1","A","L",15.5,18.75,"L",72,349.4931913,54.87043104,190.3272059
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",73,363.8265751,57.1207723,191.2024035
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",74,378.5407316,59.43089487,193.2844932
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",73,363.8265751,57.1207723,193.4384399
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",74,378.5407316,59.43089487,194.7656437
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",75,393.6404253,61.80154678,195.1634822
"Closed season","Reserve","9/15/19","A","BR1","A","L",19,18.75,"C",73,363.8265751,57.1207723,195.7127567
"Closed season","Reserve","9/15/19","A","BR1","A","L",15.2,18.75,"L",76,409.1304152,64.23347518,197.6773346
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",76,409.1304152,64.23347518,203.3820584
"Closed season","Reserve","9/15/19","A","BR1","A","L",15,18.75,"L",76,409.1304152,64.23347518,204.5535058
"Closed season","Reserve","9/15/19","A","BR1","A","L",17.5,18.75,"L",78,441.300292,69.28414584,205.3144287
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",74,378.5407316,59.43089487,206.8568685
"Closed season","Reserve","9/15/19","A","BR1","A","L",17,18.75,"L",76,409.1304152,64.23347518,211.0118231
"Closed season","Reserve","9/15/19","A","BR1","A","L",19,18.75,"C",78,441.300292,69.28414584,211.2121483
"Closed season","Reserve","9/15/19","A","BR1","A","L",17,18.75,"L",78,441.300292,69.28414584,212.7802422
"Closed season","Reserve","9/15/19","A","BR1","A","L",16,18.75,"L",78,441.300292,69.28414584,215.3339824
"Closed season","Reserve","9/15/19","A","BR1","A","L",16.8,18.75,"L",82,510.5323979,80.15358648,228.9279185
"Closed season","Reserve","9/15/19","A","BR1","A","L",16.4,18.75,"L",83,528.8872633,83.03530033,229.5067181
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",83,528.8872633,83.03530033,231.3984635
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",83,528.8872633,83.03530033,233.1986729
"Closed season","Reserve","9/15/19","A","BR1","A","L",19,18.75,"C",82,510.5323979,80.15358648,235.3900396
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",82,510.5323979,80.15358648,235.660722
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",84,547.6703064,85.9842381,237.2928212
"Closed season","Reserve","9/15/19","A","BR1","A","L",16,18.75,"L",83,528.8872633,83.03530033,238.0706725
"Closed season","Reserve","9/15/19","A","BR1","A","L",15.2,18.75,"L",83,528.8872633,83.03530033,238.939421
"Closed season","Reserve","9/15/19","A","BR1","A","L",17.3,18.75,"L",83,528.8872633,83.03530033,240.2350891
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",83,528.8872633,83.03530033,240.7141087
"Closed season","Reserve","9/15/19","A","BR1","A","L",17.4,18.75,"L",82,510.5323979,80.15358648,241.3575663
"Closed season","Reserve","9/15/19","A","BR1","A","L",17.2,18.75,"L",84,547.6703064,85.9842381,243.7429864
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",83,528.8872633,83.03530033,244.5499591
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",83,528.8872633,83.03530033,245.289284
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",86,586.5397711,92.08674406,246.1178975
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",85,566.8862397,89.00113964,246.9925562
"Closed season","Reserve","9/15/19","A","BR1","A","L",15.8,18.75,"L",84,547.6703064,85.9842381,247.2823986
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",84,547.6703064,85.9842381,249.7062529
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",86,586.5397711,92.08674406,250.4872695
"Closed season","Reserve","9/15/19","A","BR1","A","L",15.3,18.75,"L",86,586.5397711,92.08674406,252.5785198
"Closed season","Reserve","9/15/19","A","BR1","A","L",15,18.75,"L",85,566.8862397,89.00113964,252.7804064
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",86,586.5397711,92.08674406,263.3778859
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",92,713.9135533,112.0844279,269.1391532
"Closed season","Reserve","9/15/19","A","BR1","A","R",5.5,16.25,"L",95,783.8879162,123.0704028,298.6543074
"Closed season","Reserve","9/15/19","A","BR1","B","L",7.4,13.75,"C",69,308.7299461,48.47060153,169.7458371
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"L",72,349.4931913,54.87043104,182.5846377
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"C",72,349.4931913,54.87043104,182.7842603
"Closed season","Reserve","9/15/19","A","BR1","B","R",7.5,11.25,"C",73,363.8265751,57.1207723,185.0119444
"Closed season","Reserve","9/15/19","A","BR1","B","R",7.2,11.25,"C",72,349.4931913,54.87043104,189.2923566
"Closed season","Reserve","9/15/19","A","BR1","B","L",8,13.75,"C",74,378.5407316,59.43089487,193.3887326
"Closed season","Reserve","9/15/19","A","BR1","B","L",7.6,13.75,"C",74,378.5407316,59.43089487,198.1079316
"Closed season","Reserve","9/15/19","A","BR1","B","R",19.8,11.25,"L",79,457.9896699,71.90437818,207.9234817
"Closed season","Reserve","9/15/19","A","BR1","B","L",7.2,13.75,"C",77,425.0154547,66.72742638,209.6822112
"Closed season","Reserve","9/15/19","A","BR1","B","R",7.8,11.25,"C",76,409.1304152,64.23347518,215.0993875
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"C",78,441.300292,69.28414584,223.5186809
"Closed season","Reserve","9/15/19","A","BR1","B","R",8.3,11.25,"C",80,475.0883261,74.5888672,224.319531
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"L",82,510.5323979,80.15358648,224.7112553
"Closed season","Reserve","9/15/19","A","BR1","B","L",8.9,13.75,"C",82,510.5323979,80.15358648,227.3994504
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"C",82,510.5323979,80.15358648,228.8528356
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"L",83,528.8872633,83.03530033,230.5202308
"Closed season","Reserve","9/15/19","A","BR1","B","L",9,13.75,"C",83,528.8872633,83.03530033,239.5287905
"Closed season","Reserve","9/15/19","A","BR1","B","L",18.3,13.75,"L",85,566.8862397,89.00113964,242.7793666
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"C",84,547.6703064,85.9842381,251.203084
"Closed season","Reserve","9/15/19","A","BR1","B","L",19.8,13.75,"C",85,566.8862397,89.00113964,253.3958515
"Closed season","Reserve","9/15/19","A","BR1","B","R",19.8,11.25,"L",93,736.7616925,115.6715857,263.6833654
"Closed season","Reserve","9/15/19","A","BR1","B","L",9.3,13.75,"C",92,713.9135533,112.0844279,290.8909446
"Closed season","Reserve","9/15/19","A","BR1","B","R",7,11.25,"C",94,760.0849246,119.3333332,294.4426777
"Closed season","Reserve","9/15/19","A","BR1","C","L",18.8,8.75,"L",62,226.0495275,35.48977581,148.0993263
"Closed season","Reserve","9/15/19","A","BR1","C","L",10.9,8.75,"L",68,295.8718942,46.45188739,172.2228142
"Closed season","Reserve","9/15/19","A","BR1","C","L",11.6,8.75,"L",76,409.1304152,64.23347518,199.2523274
"Closed season","Reserve","9/15/19","A","BR1","C","L",11.6,8.75,"L",80,475.0883261,74.5888672,231.7302463
"Closed season","Reserve","9/15/19","A","BR1","D","R",14.5,1.25,"L",68,295.8718942,46.45188739,175.6828836
"Closed season","Reserve","9/15/19","A","BR1","D","L",14.5,3.75,"L",72,349.4931913,54.87043104,191.284438
"Closed season","Reserve","9/15/19","A","BR1","D","R",17,1.25,"L",78,441.300292,69.28414584,206.397838
"Closed season","Reserve","9/15/19","A","BR1","D","R",17,1.25,"L",78,441.300292,69.28414584,216.4732091
"Closed season","Reserve","9/15/19","A","BR1","D","L",14.5,3.75,"L",82,510.5323979,80.15358648,217.3721165
"Closed season","Reserve","9/15/19","A","BR1","D","R",14.5,1.25,"L",82,510.5323979,80.15358648,226.3333397
"Closed season","Reserve","9/15/19","A","BR1","D","L",14.5,3.75,"L",84,547.6703064,85.9842381,228.7106278
"Closed season","Reserve","9/15/19","A","BR1","D","L",14.5,3.75,"L",82,510.5323979,80.15358648,232.3772857
"Closed season","Reserve","9/15/19","A","BR1","D","R",14.5,1.25,"L",83,528.8872633,83.03530033,234.8961731
"Closed season","Reserve","9/15/19","A","BR1","D","L",14.5,3.75,"L",84,547.6703064,85.9842381,236.74983
"Closed season","Reserve","9/15/19","A","BR1","D","L",14.5,3.75,"L",84,547.6703064,85.9842381,244.351748
"Closed season","Reserve","9/24/19","B","BR1","A","L",19,18.75,"C",56,168.0334567,26.3812527,121.3434953
"Closed season","Reserve","9/24/19","B","BR1","A","L",19,18.75,"C",70,321.9496555,50.54609591,172.6971422
"Closed season","Reserve","9/24/19","B","BR1","A","L",19,18.75,"C",71,335.5358101,52.67912218,173.2949683
"Closed season","Reserve","9/24/19","B","BR1","A","L",19,18.75,"C",70,321.9496555,50.54609591,178.8179263
"Closed season","Reserve","9/24/19","B","BR1","A","R",5.5,16.25,"L",72,349.4931913,54.87043104,181.3879503
"Closed season","Reserve","9/24/19","B","BR1","A","L",17.2,18.75,"L",73,363.8265751,57.1207723,185.105266
"Closed season","Reserve","9/24/19","B","BR1","A","R",5.5,16.25,"L",74,378.5407316,59.43089487,189.4425792
"Closed season","Reserve","9/24/19","B","BR1","A","L",17.3,18.75,"L",72,349.4931913,54.87043104,190.0221722
"Closed season","Reserve","9/24/19","B","BR1","A","R",5.5,16.25,"L",74,378.5407316,59.43089487,190.7488086
